Source,Target,Type
164,61,Directed
164,62,Directed
166,162,Directed
166,84,Directed
166,57,Directed
166,59,Directed
166,121,Directed
167,9,Directed
167,170,Directed
167,72,Directed
167,82,Directed
168,9,Directed
168,172,Directed
168,170,Directed
169,9,Directed
169,174,Directed
170,245,Directed
170,46,Directed
170,42,Directed
170,44,Directed
170,84,Directed
170,82,Directed
171,170,Directed
172,246,Directed
172,53,Directed
172,171,Directed
172,40,Directed
172,170,Directed
172,42,Directed
172,44,Directed
172,84,Directed
172,82,Directed
173,172,Directed
174,247,Directed
174,173,Directed
174,38,Directed
174,172,Directed
174,42,Directed
174,44,Directed
174,84,Directed
174,82,Directed
175,174,Directed
176,9,Directed
176,179,Directed
176,87,Directed
177,9,Directed
177,181,Directed
177,179,Directed
178,9,Directed
178,183,Directed
179,245,Directed
179,65,Directed
179,64,Directed
179,63,Directed
179,84,Directed
179,87,Directed
180,179,Directed
181,246,Directed
181,180,Directed
181,179,Directed
181,64,Directed
181,63,Directed
181,84,Directed
181,87,Directed
182,181,Directed
183,247,Directed
183,182,Directed
183,181,Directed
183,64,Directed
183,63,Directed
183,84,Directed
183,87,Directed
184,174,Directed
184,183,Directed
185,210,Directed
187,209,Directed
187,172,Directed
187,12,Directed
188,209,Directed
188,172,Directed
188,12,Directed
189,209,Directed
189,172,Directed
189,12,Directed
190,209,Directed
190,172,Directed
190,12,Directed
191,209,Directed
191,172,Directed
191,12,Directed
192,209,Directed
192,172,Directed
192,12,Directed
193,209,Directed
193,172,Directed
193,12,Directed
194,209,Directed
194,172,Directed
194,12,Directed
195,209,Directed
195,172,Directed
195,12,Directed
196,209,Directed
196,172,Directed
196,12,Directed
197,40,Directed
198,209,Directed
198,172,Directed
198,12,Directed
199,209,Directed
199,172,Directed
199,12,Directed
200,40,Directed
201,209,Directed
201,172,Directed
201,12,Directed
202,209,Directed
202,172,Directed
202,12,Directed
203,209,Directed
203,172,Directed
203,12,Directed
204,209,Directed
204,172,Directed
204,12,Directed
205,209,Directed
205,172,Directed
205,12,Directed
206,209,Directed
206,172,Directed
206,12,Directed
207,209,Directed
207,172,Directed
207,12,Directed
208,209,Directed
208,172,Directed
208,12,Directed
209,210,Directed
209,172,Directed
209,12,Directed
210,12,Directed
211,170,Directed
212,172,Directed
213,243,Directed
213,174,Directed
213,172,Directed
213,170,Directed
213,245,Directed
213,247,Directed
213,246,Directed
214,172,Directed
215,11,Directed
216,49,Directed
217,49,Directed
218,49,Directed
219,9,Directed
219,172,Directed
219,211,Directed
219,174,Directed
219,212,Directed
219,170,Directed
219,41,Directed
220,219,Directed
220,172,Directed
220,211,Directed
220,174,Directed
220,212,Directed
220,170,Directed
220,41,Directed
221,211,Directed
221,170,Directed
222,212,Directed
222,172,Directed
223,41,Directed
224,211,Directed
224,170,Directed
225,49,Directed
226,49,Directed
227,49,Directed
228,11,Directed
229,49,Directed
230,49,Directed
231,49,Directed
232,49,Directed
233,240,Directed
233,172,Directed
233,170,Directed
233,526,Directed
233,174,Directed
234,240,Directed
234,170,Directed
235,240,Directed
235,170,Directed
236,240,Directed
236,170,Directed
237,42,Directed
238,240,Directed
238,170,Directed
239,240,Directed
239,170,Directed
240,170,Directed
241,172,Directed
241,40,Directed
241,173,Directed
241,174,Directed
241,38,Directed
241,175,Directed
242,9,Directed
242,172,Directed
242,170,Directed
243,9,Directed
243,245,Directed
243,247,Directed
243,246,Directed
244,9,Directed
245,244,Directed
246,244,Directed
247,244,Directed
250,304,Directed
250,172,Directed
250,170,Directed
250,46,Directed
250,42,Directed
250,44,Directed
250,84,Directed
250,82,Directed
250,245,Directed
251,170,Directed
251,42,Directed
251,44,Directed
251,172,Directed
251,46,Directed
251,84,Directed
251,82,Directed
251,245,Directed
252,172,Directed
252,40,Directed
252,42,Directed
252,44,Directed
252,170,Directed
252,53,Directed
252,171,Directed
252,84,Directed
252,82,Directed
252,246,Directed
253,174,Directed
253,38,Directed
253,173,Directed
253,172,Directed
253,42,Directed
253,44,Directed
253,84,Directed
253,82,Directed
253,247,Directed
254,179,Directed
254,64,Directed
254,63,Directed
254,181,Directed
254,65,Directed
254,84,Directed
254,87,Directed
254,245,Directed
255,181,Directed
255,63,Directed
255,64,Directed
255,179,Directed
255,180,Directed
255,84,Directed
255,87,Directed
255,246,Directed
256,183,Directed
256,182,Directed
256,181,Directed
256,64,Directed
256,63,Directed
256,84,Directed
256,87,Directed
256,247,Directed
258,257,Directed
259,257,Directed
262,309,Directed
262,172,Directed
262,53,Directed
262,44,Directed
262,42,Directed
262,170,Directed
262,171,Directed
262,40,Directed
262,84,Directed
262,82,Directed
262,246,Directed
263,53,Directed
264,53,Directed
265,309,Directed
265,172,Directed
265,170,Directed
265,53,Directed
265,171,Directed
265,40,Directed
265,42,Directed
265,44,Directed
265,84,Directed
265,82,Directed
265,246,Directed
266,170,Directed
266,172,Directed
266,46,Directed
266,42,Directed
266,44,Directed
266,84,Directed
266,82,Directed
266,245,Directed
267,172,Directed
267,170,Directed
267,53,Directed
267,171,Directed
267,40,Directed
267,42,Directed
267,44,Directed
267,84,Directed
267,82,Directed
267,246,Directed
268,174,Directed
268,172,Directed
268,173,Directed
268,38,Directed
268,42,Directed
268,44,Directed
268,84,Directed
268,82,Directed
268,247,Directed
269,179,Directed
269,181,Directed
269,65,Directed
269,64,Directed
269,63,Directed
269,84,Directed
269,87,Directed
269,245,Directed
270,181,Directed
270,179,Directed
270,180,Directed
270,64,Directed
270,63,Directed
270,84,Directed
270,87,Directed
270,246,Directed
271,183,Directed
271,181,Directed
271,182,Directed
271,64,Directed
271,63,Directed
271,84,Directed
271,87,Directed
271,247,Directed
272,170,Directed
272,172,Directed
272,46,Directed
272,42,Directed
272,44,Directed
272,84,Directed
272,82,Directed
272,245,Directed
273,172,Directed
273,170,Directed
273,53,Directed
273,171,Directed
273,40,Directed
273,42,Directed
273,44,Directed
273,84,Directed
273,82,Directed
273,246,Directed
274,174,Directed
274,172,Directed
274,173,Directed
274,38,Directed
274,42,Directed
274,44,Directed
274,84,Directed
274,82,Directed
274,247,Directed
275,179,Directed
275,181,Directed
275,65,Directed
275,64,Directed
275,63,Directed
275,84,Directed
275,87,Directed
275,245,Directed
276,181,Directed
276,179,Directed
276,180,Directed
276,64,Directed
276,63,Directed
276,84,Directed
276,87,Directed
276,246,Directed
277,183,Directed
277,181,Directed
277,182,Directed
277,64,Directed
277,63,Directed
277,84,Directed
277,87,Directed
277,247,Directed
278,170,Directed
278,172,Directed
278,46,Directed
278,42,Directed
278,44,Directed
278,84,Directed
278,82,Directed
278,245,Directed
279,172,Directed
279,53,Directed
279,44,Directed
279,42,Directed
279,170,Directed
279,171,Directed
279,40,Directed
279,84,Directed
279,82,Directed
279,246,Directed
280,53,Directed
281,51,Directed
282,51,Directed
283,51,Directed
284,51,Directed
285,51,Directed
286,174,Directed
286,173,Directed
286,38,Directed
286,172,Directed
286,42,Directed
286,44,Directed
286,84,Directed
286,82,Directed
286,247,Directed
287,179,Directed
287,181,Directed
287,65,Directed
287,64,Directed
287,63,Directed
287,84,Directed
287,87,Directed
287,245,Directed
288,181,Directed
288,179,Directed
288,180,Directed
288,64,Directed
288,63,Directed
288,84,Directed
288,87,Directed
288,246,Directed
289,183,Directed
289,182,Directed
289,181,Directed
289,64,Directed
289,63,Directed
289,84,Directed
289,87,Directed
289,247,Directed
290,168,Directed
290,524,Directed
291,46,Directed
292,44,Directed
293,42,Directed
294,40,Directed
295,212,Directed
295,172,Directed
296,309,Directed
296,172,Directed
296,53,Directed
296,44,Directed
296,42,Directed
296,170,Directed
296,171,Directed
296,40,Directed
296,84,Directed
296,82,Directed
296,246,Directed
297,53,Directed
298,53,Directed
299,53,Directed
300,53,Directed
301,53,Directed
302,53,Directed
303,53,Directed
304,170,Directed
304,172,Directed
304,46,Directed
304,42,Directed
304,44,Directed
304,84,Directed
304,82,Directed
304,245,Directed
305,304,Directed
305,170,Directed
305,172,Directed
305,46,Directed
305,42,Directed
305,44,Directed
305,84,Directed
305,82,Directed
305,245,Directed
306,304,Directed
306,170,Directed
306,172,Directed
306,46,Directed
306,42,Directed
306,44,Directed
306,84,Directed
306,82,Directed
306,245,Directed
307,304,Directed
307,170,Directed
307,172,Directed
307,46,Directed
307,42,Directed
307,44,Directed
307,84,Directed
307,82,Directed
307,245,Directed
308,304,Directed
308,170,Directed
308,172,Directed
308,46,Directed
308,42,Directed
308,44,Directed
308,84,Directed
308,82,Directed
308,245,Directed
309,172,Directed
309,170,Directed
309,53,Directed
309,171,Directed
309,40,Directed
309,42,Directed
309,44,Directed
309,84,Directed
309,82,Directed
309,246,Directed
310,309,Directed
310,172,Directed
310,170,Directed
310,53,Directed
310,171,Directed
310,40,Directed
310,42,Directed
310,44,Directed
310,84,Directed
310,82,Directed
310,246,Directed
311,309,Directed
311,172,Directed
311,170,Directed
311,53,Directed
311,171,Directed
311,40,Directed
311,42,Directed
311,44,Directed
311,84,Directed
311,82,Directed
311,246,Directed
312,309,Directed
312,172,Directed
312,170,Directed
312,53,Directed
312,171,Directed
312,40,Directed
312,42,Directed
312,44,Directed
312,84,Directed
312,82,Directed
312,246,Directed
313,309,Directed
313,172,Directed
313,170,Directed
313,53,Directed
313,171,Directed
313,40,Directed
313,42,Directed
313,44,Directed
313,84,Directed
313,82,Directed
313,246,Directed
314,309,Directed
314,172,Directed
314,170,Directed
314,53,Directed
314,171,Directed
314,40,Directed
314,42,Directed
314,44,Directed
314,84,Directed
314,82,Directed
314,246,Directed
315,309,Directed
315,172,Directed
315,170,Directed
315,53,Directed
315,171,Directed
315,40,Directed
315,42,Directed
315,44,Directed
315,84,Directed
315,82,Directed
315,246,Directed
316,9,Directed
316,328,Directed
316,172,Directed
316,170,Directed
317,42,Directed
318,11,Directed
319,49,Directed
320,11,Directed
321,172,Directed
321,44,Directed
321,42,Directed
321,170,Directed
322,172,Directed
323,172,Directed
324,172,Directed
324,170,Directed
325,172,Directed
326,172,Directed
326,170,Directed
327,172,Directed
328,9,Directed
328,172,Directed
328,174,Directed
328,170,Directed
329,49,Directed
330,11,Directed
331,172,Directed
332,321,Directed
332,172,Directed
332,44,Directed
332,42,Directed
332,170,Directed
333,172,Directed
337,321,Directed
337,172,Directed
337,44,Directed
337,42,Directed
337,170,Directed
338,327,Directed
338,172,Directed
339,327,Directed
339,172,Directed
344,327,Directed
344,172,Directed
345,243,Directed
345,183,Directed
345,179,Directed
345,181,Directed
345,245,Directed
345,247,Directed
345,246,Directed
346,179,Directed
347,181,Directed
348,181,Directed
349,11,Directed
350,49,Directed
351,49,Directed
352,49,Directed
353,9,Directed
353,183,Directed
353,347,Directed
353,181,Directed
353,346,Directed
353,179,Directed
354,353,Directed
354,183,Directed
354,347,Directed
354,181,Directed
354,346,Directed
354,179,Directed
355,49,Directed
356,49,Directed
357,49,Directed
358,49,Directed
359,49,Directed
360,49,Directed
361,365,Directed
362,365,Directed
363,365,Directed
364,365,Directed
366,365,Directed
367,365,Directed
368,365,Directed
369,44,Directed
369,42,Directed
369,43,Directed
369,46,Directed
370,44,Directed
371,44,Directed
372,44,Directed
373,44,Directed
374,44,Directed
375,44,Directed
376,44,Directed
377,44,Directed
378,44,Directed
379,44,Directed
380,44,Directed
381,42,Directed
382,44,Directed
383,44,Directed
384,44,Directed
385,42,Directed
386,42,Directed
387,42,Directed
388,42,Directed
389,42,Directed
390,42,Directed
391,43,Directed
392,44,Directed
393,43,Directed
394,43,Directed
395,42,Directed
396,42,Directed
397,42,Directed
398,42,Directed
399,42,Directed
400,44,Directed
401,44,Directed
402,44,Directed
403,42,Directed
404,42,Directed
405,42,Directed
406,44,Directed
407,44,Directed
408,44,Directed
409,42,Directed
410,42,Directed
411,44,Directed
412,44,Directed
413,44,Directed
414,44,Directed
415,46,Directed
416,46,Directed
417,46,Directed
418,46,Directed
419,44,Directed
420,44,Directed
421,44,Directed
422,44,Directed
423,44,Directed
424,44,Directed
425,44,Directed
426,44,Directed
427,44,Directed
428,42,Directed
429,44,Directed
430,44,Directed
431,42,Directed
432,52,Directed
432,55,Directed
432,57,Directed
432,59,Directed
433,52,Directed
434,55,Directed
435,55,Directed
436,55,Directed
437,55,Directed
438,57,Directed
439,57,Directed
440,57,Directed
441,55,Directed
442,55,Directed
443,55,Directed
444,52,Directed
445,55,Directed
446,55,Directed
447,55,Directed
448,55,Directed
449,55,Directed
450,55,Directed
451,55,Directed
452,55,Directed
453,55,Directed
454,52,Directed
455,52,Directed
456,52,Directed
457,52,Directed
458,52,Directed
459,52,Directed
460,55,Directed
461,55,Directed
462,52,Directed
463,52,Directed
464,52,Directed
465,52,Directed
466,52,Directed
467,59,Directed
468,59,Directed
469,59,Directed
470,59,Directed
471,52,Directed
472,52,Directed
473,52,Directed
474,52,Directed
475,52,Directed
476,52,Directed
477,52,Directed
478,52,Directed
479,52,Directed
480,52,Directed
481,52,Directed
482,52,Directed
483,55,Directed
484,52,Directed
485,52,Directed
486,52,Directed
487,52,Directed
488,52,Directed
489,365,Directed
490,44,Directed
491,365,Directed
492,42,Directed
493,365,Directed
494,496,Directed
494,526,Directed
495,496,Directed
495,526,Directed
496,9,Directed
496,44,Directed
496,52,Directed
496,526,Directed
497,9,Directed
497,496,Directed
498,494,Directed
498,526,Directed
499,495,Directed
499,526,Directed
500,494,Directed
500,526,Directed
501,500,Directed
501,526,Directed
502,494,Directed
502,526,Directed
503,526,Directed
504,494,Directed
504,526,Directed
505,495,Directed
505,526,Directed
506,494,Directed
506,526,Directed
507,494,Directed
507,526,Directed
509,494,Directed
509,526,Directed
510,495,Directed
510,526,Directed
511,494,Directed
511,526,Directed
512,494,Directed
512,526,Directed
513,495,Directed
513,526,Directed
514,494,Directed
514,526,Directed
515,495,Directed
515,526,Directed
516,495,Directed
516,526,Directed
518,494,Directed
518,526,Directed
519,494,Directed
519,526,Directed
520,494,Directed
520,526,Directed
521,495,Directed
521,526,Directed
522,526,Directed
523,526,Directed
524,526,Directed
525,524,Directed
525,526,Directed
526,9,Directed
526,44,Directed
526,52,Directed
528,9,Directed
530,9,Directed
530,526,Directed
531,9,Directed
531,526,Directed
532,9,Directed
532,526,Directed
533,82,Directed
533,84,Directed
534,365,Directed
535,365,Directed
536,9,Directed
537,9,Directed
538,536,Directed
538,82,Directed
539,537,Directed
539,46,Directed
539,538,Directed
540,9,Directed
540,541,Directed
540,82,Directed
540,46,Directed
541,82,Directed
541,46,Directed
542,9,Directed
543,9,Directed
543,541,Directed
543,82,Directed
543,46,Directed
544,540,Directed
544,526,Directed
544,82,Directed
544,46,Directed
547,541,Directed
547,526,Directed
547,82,Directed
548,82,Directed
548,541,Directed
548,543,Directed
549,540,Directed
549,526,Directed
549,82,Directed
549,46,Directed
